Wall time,Step,Value
1640729985.103595,0,0.6475833058357239
1640730499.633235,1,0.7590833306312561
1640731013.027921,2,0.8234999775886536
1640731526.644199,3,0.8742499947547913
1640732042.090607,4,0.8976666927337646
1640732557.006465,5,0.9132500290870667
1640733069.987115,6,0.9229166507720947
1640733580.255512,7,0.9316666722297668
1640734092.875408,8,0.9380000233650208
1640734610.884103,9,0.9433333277702332
1640735133.818238,10,0.9476666450500488
1640735658.182434,11,0.9493333101272583
1640736173.922127,12,0.9543333053588867
1640736695.773967,13,0.9588333368301392
1640737216.680492,14,0.9581666588783264
1640737733.227229,15,0.9591666460037231
1640738246.580174,16,0.9639999866485596
1640738765.116982,17,0.9633333086967468
1640739279.746401,18,0.9634166955947876
1640739792.72191,19,0.9681666493415833
1640740301.8317,20,0.9673333168029785
1640740811.648653,21,0.9712499976158142
1640741322.695365,22,0.9727500081062317
1640741834.443517,23,0.9737499952316284
1640742344.930468,24,0.9776666760444641
1640742852.754765,25,0.9767500162124634
1640743359.957167,26,0.9749166369438171
1640743868.389828,27,0.9805833101272583
1640744374.406384,28,0.9779999852180481
1640744877.620058,29,0.9805833101272583
1640745382.065316,30,0.9808333516120911
1640745888.967862,31,0.9822499752044678
1640746396.736848,32,0.981333315372467
1640746908.28827,33,0.9823333621025085
1640747414.70243,34,0.9851666688919067
1640747923.03718,35,0.984666645526886
1640748441.263078,36,0.984333336353302
1640748961.080914,37,0.9850000143051147
1640749480.952623,38,0.9880833625793457
1640749999.14131,39,0.984749972820282
1640750518.678938,40,0.9870833158493042
1640751041.374705,41,0.9878333210945129
1640751562.602474,42,0.9879166483879089
1640752082.139941,43,0.9894166588783264
1640752598.534788,44,0.9871666431427002
1640753106.949611,45,0.9909166693687439
1640753615.060601,46,0.9897500276565552
1640754121.399981,47,0.9901666641235352
1640754627.963327,48,0.9897500276565552
1640755134.75644,49,0.9906666874885559
