Wall time,Step,Value
1640729985.103041,0,0.7348300814628601
1640730499.632582,1,0.5507456660270691
1640731013.027354,2,0.40988868474960327
1640731526.643513,3,0.30729421973228455
1640732042.09011,4,0.250467449426651
1640732557.005843,5,0.21941015124320984
1640733069.986522,6,0.19223113358020782
1640733580.254861,7,0.1752222329378128
1640734092.874714,8,0.15899963676929474
1640734610.883561,9,0.14460338652133942
1640735133.817669,10,0.1353502869606018
1640735658.181714,11,0.13366268575191498
1640736173.921609,12,0.12217564880847931
1640736695.773418,13,0.11121024936437607
1640737216.679893,14,0.10942860692739487
1640737733.226562,15,0.10359025001525879
1640738246.579669,16,0.09400848299264908
1640738765.11642,17,0.0954853743314743
1640739279.745844,18,0.09077972173690796
1640739792.72136,19,0.08487045764923096
1640740301.831217,20,0.08121180534362793
1640740811.648155,21,0.07467886805534363
1640741322.694789,22,0.06898067891597748
1640741834.442983,23,0.06906191259622574
1640742344.929992,24,0.06649711728096008
1640742852.754239,25,0.06130284070968628
1640743359.95659,26,0.06520967930555344
1640743868.389271,27,0.05448056012392044
1640744374.405802,28,0.056389931589365005
1640744877.619416,29,0.053395599126815796
1640745382.064786,30,0.049353256821632385
1640745888.967284,31,0.04751603677868843
1640746396.736268,32,0.046531692147254944
1640746908.287697,33,0.04642679914832115
1640747414.701878,34,0.0393359549343586
1640747923.036604,35,0.04107372462749481
1640748441.262488,36,0.043344005942344666
1640748961.08002,37,0.039805762469768524
1640749480.952087,38,0.03161085397005081
1640749999.140781,39,0.041677191853523254
1640750518.678357,40,0.03508014604449272
1640751041.374138,41,0.034297771751880646
1640751562.601763,42,0.03349222242832184
1640752082.139403,43,0.030119122937321663
1640752598.534163,44,0.033924974501132965
1640753106.949042,45,0.026680663228034973
1640753615.05996,46,0.026885846629738808
1640754121.399453,47,0.025155341252684593
1640754627.959696,48,0.02764272131025791
1640755134.755858,49,0.026020653545856476
